"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT1G68560.1";0.38;-0.89;-0.2;-0.01;0.03
"AT1G69295.1";-0.15;0.37;0.51;0.11;0.63
"AT1G69410.1";0.7;-0.31;-0.05;-0.58;0.2
"AT1G69800.1";0.28;0.75;-0.46;-0.24;0.04
"AT1G70580.1";-0.33;-0.75;-0.33;-0.18;0.07
"AT1G70680.1";-0.07;0.69;0.01;-0.43;-0.19
"AT1G70730.1";0.15;0.3;-0.62;-0.12;0.54
"AT1G70770.1";-0.12;-0.42;0.83;0.07;-0.09
"AT1G70840.1";-0.93;-0.02;0.08;0.02;0.3
"AT1G71695.1";-0.69;-0.35;0.33;0.5;-0.13
"AT1G71950.1";0.15;0.52;0.78;0.24;0.08
"AT1G72100.1";-0.46;0.67;0.32;0.08;0.13
"AT1G72370.1";-0.33;-0.66;-0.56;-0.27;0.21
"AT1G72550.1";0.25;-0.49;-0.47;-0.18;0.48
"AT1G72680.1";-0.21;-0.9;0.14;0.11;-0.18
"AT1G73190.1";0.29;-0.34;0.77;-0.11;-0.26
"AT1G74030.1";-0.38;-0.21;-0.78;0.23;0.19
"AT1G74310.1";0.88;0.41;-0.22;0.03;0.09
"AT1G74920.1";0.16;-0.13;0.26;-0.39;-0.14
"AT1G75280.1";0.25;0.45;-0.05;-0.39;-0.75
"AT1G76160.1";-0.37;0.68;0.18;0.3;0.34
"AT1G77090.1";0.8;0.33;0.27;-0.26;-0.09
"AT1G77120.1";0.04;-0.74;0.06;0.43;0.06
"AT1G77510.1";-0.44;-0.37;0.25;0.54;0.01
"AT1G78300.1";0.24;0.58;-0.7;0.29;0.13
"AT1G78370.1";0.54;0.17;-0.75;0.02;-0.12
"AT1G78380.1";0.31;0.56;-0.71;-0.13;-0.25
"AT1G78900.1";-0.17;-0.79;-0.34;0.29;0.27
"AT1G79230.3";-0.52;-0.61;0.23;-0.51;0.16
"AT1G79440.1";-0.3;-0.39;0.32;0.59;-0.13
"AT1G79550.1";0.06;0.89;-0.01;-0.12;0.42
"AT1G79690.1";-0.55;-0.15;-0.42;-0.29;0.22
"AT2G01140.1";-0.78;-0.4;-0.37;0.02;0.11
"AT2G01250.1";0.26;-0.01;0.55;0.47;0.29
"AT2G01470.1";-0.67;0.41;0.44;0.29;-0.04
"AT2G02930.1";0.27;0.77;-0.5;-0.07;0.19
"AT2G03440.1";0.41;-0.15;0.88;0.1;0.07
"AT2G04350.1";0.17;-0.19;-0.4;0.19;0.18
"AT2G04390.1";0.57;0.3;-0.05;0.3;0.69
"AT2G04520.1";-0.17;-0.21;0.58;0.59;0.39
"AT2G04780.1";-0.9;0.01;0.31;-0.01;-0.18
"AT2G05710.1";-0.85;0.04;0.29;-0.28;-0.32
"AT2G05920.1";-0.96;0.15;0.16;0.02;-0.09
"AT2G05990.1";-0.04;-0.88;-0.38;-0.11;0.06
"AT2G07698.1";0.19;0.75;-0.46;-0.06;-0.39
"AT2G14170.1";-0.34;0.27;-0.33;0.3;-0.35
"AT2G14260.2";0.58;-0.27;-0.05;-0.36;-0.55
"AT2G14720.1";-0.66;-0.44;0.34;-0.03;0.33
"AT2G15010.1";0.35;-0.09;0.02;-0.69;0.05
"AT2G16600.1";-0.18;-0.61;-0.22;-0.61;-0.38
"AT2G17360.1";0.53;-0.59;0.24;-0.29;0.39
"AT2G17870.1";-0.7;-0.28;0.33;-0.1;0.03
"AT2G17980.1";-0.31;-0.01;-0.21;-0.03;0.66
"AT2G18340.1";0.1;0.65;-0.03;0.11;-0.1
"AT2G18370.1";-0.46;-0.29;0;-0.72;0.32
"AT2G18540.1";0.58;0.29;0.55;0.25;-0.24
"AT2G18570.1";-0.13;0.83;0.04;0.43;-0.09
"AT2G19900.1";0.41;0.78;0.12;-0.28;-0.34
"AT2G19940.1";0.49;-0.28;-0.73;0;-0.09
"AT2G20140.1";0.59;-0.08;-0.55;0.44;-0.22
"AT2G20260.1";0.39;0.51;0.69;-0.01;0.15
"AT2G20360.1";-0.08;0.43;0.37;0.57;-0.5
"AT2G20420.1";-0.26;0.09;-0.93;0.11;0.12
"AT2G20560.1";0.64;0.67;-0.01;0.09;0.34
"AT2G20580.1";0.43;0.66;-0.14;0.17;0.51
"AT2G20990.1";0.59;0.26;0.58;0.37;-0.15
"AT2G21160.1";0.34;-0.49;0.07;0.25;0.01
"AT2G21170.1";0.65;-0.13;-0.08;0.05;-0.68
"AT2G21660.1";-0.97;-0.02;-0.21;-0.1;-0.03
"AT2G21720.1";0.23;0.08;-0.7;-0.53;0.07
"AT2G21820.1";0.79;-0.57;0;0;-0.05
"AT2G21870.1";0.35;0.81;-0.29;-0.12;0.24
"AT2G22240.1";0.68;0;0.3;-0.51;-0.24
"AT2G22420.1";-0.84;-0.07;0.41;0.29;-0.1
"AT2G22780.1";-0.74;0.52;0.28;-0.12;0.21
"AT2G23110.1";0.86;-0.3;0.32;0.14;-0.03
"AT2G23120.1";0.71;-0.55;-0.23;-0.23;-0.03
"AT2G23240.1";-0.01;-0.4;0.01;-0.27;0.13
"AT2G24020.1";0.64;0.6;-0.12;-0.2;0.2
"AT2G24200.1";0.47;-0.44;-0.22;0.1;-0.52
"AT2G24270.1";-0.89;-0.07;-0.14;-0.29;0.12
"AT2G24940.1";-0.39;0.12;0.78;-0.07;-0.19
"AT2G25280.1";0.25;0.02;0.9;-0.02;0
"AT2G25890.1";0.32;0.21;0.14;-0.69;0.21
"AT2G25970.1";-0.89;-0.24;-0.06;0.27;0.12
"AT2G27020.1";-0.43;0.35;-0.71;0.32;0.02
"AT2G28000.1";0.73;0.34;-0.06;0.45;0.02
"AT2G28190.1";-0.57;0.16;-0.35;0.62;0.28
"AT2G28470.1";-0.52;-0.46;-0.41;0.1;0.35
"AT2G28490.1";-0.65;-0.29;-0.08;-0.46;-0.3
"AT2G28790.1";-0.63;-0.21;-0.26;-0.44;0.4
"AT2G28900.1";-0.93;0.09;-0.23;0.02;-0.1
"AT2G29300.1";0.92;0.08;-0.07;0.24;-0.03
"AT2G30200.1";0.49;-0.77;0.31;-0.1;-0.04
"AT2G30970.1";0.07;0.56;0.75;-0.04;0.08
"AT2G32120.1";0.81;-0.53;-0.09;-0.06;-0.19
"AT2G32920.1";0.47;-0.64;0.39;0.05;-0.43
"AT2G33070.1";0.17;0.65;0.01;-0.43;0.29
"AT2G33150.1";0.33;0.25;0.76;0.12;-0.24
"AT2G33590.1";-0.27;0.57;-0.63;0.23;-0.14
"AT2G34700.1";0.02;-0.74;-0.24;0.52;-0.01
"AT2G34790.1";-0.67;0.46;-0.15;-0.01;-0.04
"AT2G35490.1";0.43;0.26;0.79;-0.13;-0.18
"AT2G35840.1";-0.45;-0.66;0.21;-0.4;0
"AT2G36070.1";0.64;0.09;0.62;0.04;0.03
"AT2G36460.1";0.39;0.7;-0.23;0.06;0.23
"AT2G36530.1";-0.12;-0.05;-0.49;0.56;-0.3
"AT2G36640.1";0.82;-0.47;0.14;0.17;0.07
"AT2G37220.1";-0.92;-0.22;0.13;0.01;0.12
"AT2G37620.1";-0.4;0.39;0.59;-0.11;-0.11
"AT2G37660.1";0.83;0.41;-0.02;0.02;0.26
"AT2G37970.1";-0.94;0.2;-0.09;0.1;0
"AT2G38040.1";0.94;-0.02;0.06;0.29;0
"AT2G38380.1";-0.67;0.38;-0.19;0.26;-0.16
"AT2G38530.1";0.46;-0.4;-0.36;-0.26;0.19
"AT2G38540.1";-0.64;-0.23;0.22;0.33;0.18
"AT2G38870.1";-0.47;0.19;-0.49;-0.56;-0.35
"AT2G39990.1";-0.21;-0.27;0.08;0.22;0.61
"AT2G40170.1";0.33;0.76;-0.23;0.05;0.36
"AT2G41220.1";0.55;-0.48;0.39;0.06;0.21
"AT2G41260.1";-0.82;-0.19;0.25;-0.22;0.14
"AT2G41530.1";0.35;-0.25;-0.78;-0.05;-0.39
"AT2G41840.1";-0.25;0.62;0.51;0.17;-0.07
"AT2G42000.1";0.38;-0.19;0.17;-0.46;0.06
"AT2G42500.1";0.4;-0.42;-0.47;-0.57;-0.11
"AT2G42520.1";-0.4;-0.52;-0.26;0.04;-0.62
"AT2G42560.1";0.41;0.75;0.26;0.24;0.18
"AT2G42740.1";0.13;-0.81;-0.55;-0.04;0.09
"AT2G42790.1";0.64;0.52;-0.11;0.24;0.44
"AT2G43090.1";0.57;0.29;0.29;0.42;0.28
"AT2G43520.1";0.84;-0.36;0.27;0.14;-0.03
"AT2G43750.1";-0.73;0.3;-0.19;0.2;-0.11
"AT2G43950.1";-0.88;0.2;-0.2;0.1;-0.02
"AT2G44060.1";0.9;-0.15;0.18;0.13;-0.25
"AT2G44120.1";-0.29;-0.39;0.21;0.3;0.72
"AT2G44350.1";0.25;-0.44;-0.81;0.3;0.02
"AT2G45140.1";-0.4;-0.25;-0.1;0;0.82
"AT2G45290.1";-0.22;-0.54;0.66;-0.18;0.24
"AT2G45710.1";0.07;0.54;0.25;0.4;-0.27
"AT2G46280.1";-0.55;-0.42;0.46;-0.4;-0.3
"AT2G46750.1";-0.8;0.27;-0.42;0.15;-0.01
"AT2G47470.1";0.13;-0.71;-0.07;0.23;-0.26
"AT2G47770.1";0.52;0.54;-0.58;0.3;0.01
